Timestamp,Coor_X,Coor_Y,Altitud(m),Precisión(m),BSSID,Intensidad_señal(dBm),Etiqueta,Ubicación
20250520_150454,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d4:a5:88,-56,Pasillo del  Bloque A Piso 1,Pasillo del  Bloque A Piso 1
20250520_150454,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d4:a5:8c,-65,Pasillo del  Bloque A Piso 1,Pasillo del  Bloque A Piso 1
20250520_150454,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:d4:b8,-67,Pasillo del  Bloque A Piso 1,Pasillo del  Bloque A Piso 1
20250520_150454,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:d4:bc,-67,Pasillo del  Bloque A Piso 1,Pasillo del  Bloque A Piso 1
20250520_150527,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:d4:b8,-53,Pasillo del  Bloque A Piso 1,Pasillo del  Bloque A Piso 1
20250520_150527,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:c3:b8,-57,Pasillo del  Bloque A Piso 1,Pasillo del  Bloque A Piso 1
20250520_150527,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:b9:18,-58,Pasillo del  Bloque A Piso 1,Pasillo del  Bloque A Piso 1
20250520_150527,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:ce:c8,-68,Pasillo del  Bloque A Piso 1,Pasillo del  Bloque A Piso 1
20250520_150652,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:c3:b8,-62,Escaleras Primer Piso Bloque A,Escaleras Primer Piso Bloque A
20250520_150652,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:b9:18,-66,Escaleras Primer Piso Bloque A,Escaleras Primer Piso Bloque A
20250520_150652,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:d4:b8,-70,Escaleras Primer Piso Bloque A,Escaleras Primer Piso Bloque A
20250520_150652,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:ce:cc,-73,Escaleras Primer Piso Bloque A,Escaleras Primer Piso Bloque A
20250520_150726,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:d4:b8,-47,Escaleras Primer Piso Bloque A,Escaleras Primer Piso Bloque A
20250520_150726,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:d4:bc,-48,Escaleras Primer Piso Bloque A,Escaleras Primer Piso Bloque A
20250520_150726,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:ce:c8,-59,Escaleras Primer Piso Bloque A,Escaleras Primer Piso Bloque A
20250520_150726,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:e7:b8,-60,Escaleras Primer Piso Bloque A,Escaleras Primer Piso Bloque A
20250520_150907,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:d4:b8,-38,Pasillo Segundo Piso Bloque A,Pasillo Segundo Piso Bloque A
20250520_150907,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:d4:bc,-44,Pasillo Segundo Piso Bloque A,Pasillo Segundo Piso Bloque A
20250520_150907,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:ce:c8,-50,Pasillo Segundo Piso Bloque A,Pasillo Segundo Piso Bloque A
20250520_150907,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d4:a5:88,-67,Pasillo Segundo Piso Bloque A,Pasillo Segundo Piso Bloque A
20250520_150919,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:d4:b8,-44,Pasillo Segundo Piso Bloque A,Pasillo Segundo Piso Bloque A
20250520_150919,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:d4:bc,-45,Pasillo Segundo Piso Bloque A,Pasillo Segundo Piso Bloque A
20250520_150919,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:e7:b8,-50,Pasillo Segundo Piso Bloque A,Pasillo Segundo Piso Bloque A
20250520_150919,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:e7:bc,-54,Pasillo Segundo Piso Bloque A,Pasillo Segundo Piso Bloque A
20250520_150932,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:d4:b8,-34,Pasillo Segundo Piso Bloque A,Pasillo Segundo Piso Bloque A
20250520_150932,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:d4:bc,-41,Pasillo Segundo Piso Bloque A,Pasillo Segundo Piso Bloque A
20250520_150932,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:ce:c8,-44,Pasillo Segundo Piso Bloque A,Pasillo Segundo Piso Bloque A
20250520_150932,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:e7:b8,-48,Pasillo Segundo Piso Bloque A,Pasillo Segundo Piso Bloque A
20250520_150940,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:ce:c8,-47,Pasillo Segundo Piso Bloque A,Pasillo Segundo Piso Bloque A
20250520_150940,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:ce:cc,-47,Pasillo Segundo Piso Bloque A,Pasillo Segundo Piso Bloque A
20250520_150940,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:b1:b8,-55,Pasillo Segundo Piso Bloque A,Pasillo Segundo Piso Bloque A
20250520_150940,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:d4:bc,-57,Pasillo Segundo Piso Bloque A,Pasillo Segundo Piso Bloque A
20250520_150951,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:ce:c8,-38,Pasillo Segundo Piso Bloque A,Pasillo Segundo Piso Bloque A
20250520_150951,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:ce:cc,-50,Pasillo Segundo Piso Bloque A,Pasillo Segundo Piso Bloque A
20250520_150951,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:b1:b8,-51,Pasillo Segundo Piso Bloque A,Pasillo Segundo Piso Bloque A
20250520_150951,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:ce:88,-57,Pasillo Segundo Piso Bloque A,Pasillo Segundo Piso Bloque A
20250520_151004,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:ce:88,-54,Pasillo Segundo Piso Bloque A,Pasillo Segundo Piso Bloque A
20250520_151004,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:d4:b8,-57,Pasillo Segundo Piso Bloque A,Pasillo Segundo Piso Bloque A
20250520_151004,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:ce:c8,-60,Pasillo Segundo Piso Bloque A,Pasillo Segundo Piso Bloque A
20250520_151004,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:fb:d8,-61,Pasillo Segundo Piso Bloque A,Pasillo Segundo Piso Bloque A
20250520_151018,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:ce:88,-36,Pasillo Segundo Piso Bloque A,Pasillo Segundo Piso Bloque A
20250520_151018,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d2:2d:28,-58,Pasillo Segundo Piso Bloque A,Pasillo Segundo Piso Bloque A
20250520_151018,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:d4:bc,-64,Pasillo Segundo Piso Bloque A,Pasillo Segundo Piso Bloque A
20250520_151018,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:ce:c8,-66,Pasillo Segundo Piso Bloque A,Pasillo Segundo Piso Bloque A
20250520_151142,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:ce:88,-56,Caracola Primer Piso Bloque A,Caracola Primer Piso Bloque A
20250520_151142,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:d4:bc,-56,Caracola Primer Piso Bloque A,Caracola Primer Piso Bloque A
20250520_151142,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:d4:b8,-57,Caracola Primer Piso Bloque A,Caracola Primer Piso Bloque A
20250520_151142,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:bc:38,-64,Caracola Primer Piso Bloque A,Caracola Primer Piso Bloque A
20250520_151153,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:e1:58,-53,Caracola Primer Piso Bloque A,Caracola Primer Piso Bloque A
20250520_151153,-74.35520333333334,4.8289550000000006,2641.7,2.1,8c:7a:15:d6:c4:5c,-56,Caracola Primer Piso Bloque A,Caracola Primer Piso Bloque A
20250520_151153,-74.35520333333334,4.8289550000000006,2641.7,2.1,8c:7a:15:d6:c4:58,-58,Caracola Primer Piso Bloque A,Caracola Primer Piso Bloque A
20250520_151153,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:de:38,-58,Caracola Primer Piso Bloque A,Caracola Primer Piso Bloque A
20250520_151202,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:ee:d8,-58,Caracola Primer Piso Bloque A,Caracola Primer Piso Bloque A
20250520_151202,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:da:2c,-66,Caracola Primer Piso Bloque A,Caracola Primer Piso Bloque A
20250520_151202,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:fe:5c,-66,Caracola Primer Piso Bloque A,Caracola Primer Piso Bloque A
20250520_151202,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:ee:dc,-68,Caracola Primer Piso Bloque A,Caracola Primer Piso Bloque A
20250520_151212,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:ee:d8,-44,Caracola Primer Piso Bloque A,Caracola Primer Piso Bloque A
20250520_151212,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:de:38,-54,Caracola Primer Piso Bloque A,Caracola Primer Piso Bloque A
20250520_151212,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:ee:dc,-65,Caracola Primer Piso Bloque A,Caracola Primer Piso Bloque A
20250520_151212,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:ce:bc,-67,Caracola Primer Piso Bloque A,Caracola Primer Piso Bloque A
20250520_151221,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d4:a5:8c,-57,Caracola Primer Piso Bloque A,Caracola Primer Piso Bloque A
20250520_151221,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d4:a6:28,-66,Caracola Primer Piso Bloque A,Caracola Primer Piso Bloque A
20250520_151221,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:ee:d8,-67,Caracola Primer Piso Bloque A,Caracola Primer Piso Bloque A
20250520_151221,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:d4:b8,-69,Caracola Primer Piso Bloque A,Caracola Primer Piso Bloque A
20250520_151229,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d4:a5:88,-52,Caracola Primer Piso Bloque A,Caracola Primer Piso Bloque A
20250520_151229,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d4:a5:8c,-54,Caracola Primer Piso Bloque A,Caracola Primer Piso Bloque A
20250520_151229,-74.35520333333334,4.8289550000000006,2641.7,2.1,8c:7a:15:d6:c4:5c,-57,Caracola Primer Piso Bloque A,Caracola Primer Piso Bloque A
20250520_151229,-74.35520333333334,4.8289550000000006,2641.7,2.1,8c:7a:15:d6:c4:58,-74,Caracola Primer Piso Bloque A,Caracola Primer Piso Bloque A
20250520_151347,-74.35520333333334,4.8289550000000006,2641.7,2.1,8c:7a:15:d6:c4:5c,-44,Entrada Auditorio,Entrada Auditorio
20250520_151347,-74.35520333333334,4.8289550000000006,2641.7,2.1,8c:7a:15:d6:c4:58,-50,Entrada Auditorio,Entrada Auditorio
20250520_151347,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d4:a5:8c,-51,Entrada Auditorio,Entrada Auditorio
20250520_151347,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:d4:b8,-66,Entrada Auditorio,Entrada Auditorio
20250520_151445,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:e1:58,-28,Pasillo Auditorio,Pasillo Auditorio
20250520_151445,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:de:38,-52,Pasillo Auditorio,Pasillo Auditorio
20250520_151445,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d2:1b:e8,-52,Pasillo Auditorio,Pasillo Auditorio
20250520_151445,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:ee:dc,-53,Pasillo Auditorio,Pasillo Auditorio
20250520_151456,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:e1:58,-44,Pasillo Auditorio,Pasillo Auditorio
20250520_151456,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:ee:dc,-50,Pasillo Auditorio,Pasillo Auditorio
20250520_151456,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:ee:d8,-56,Pasillo Auditorio,Pasillo Auditorio
20250520_151456,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d4:a5:8c,-69,Pasillo Auditorio,Pasillo Auditorio
20250520_151527,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:ee:d8,-45,Esquina Cafeteria,Esquina Cafeteria
20250520_151527,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:e1:58,-49,Esquina Cafeteria,Esquina Cafeteria
20250520_151527,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:ee:dc,-51,Esquina Cafeteria,Esquina Cafeteria
20250520_151527,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:cf:88,-66,Esquina Cafeteria,Esquina Cafeteria
20250520_151556,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:ee:d8,-29,Esquina Cafeteria,Esquina Cafeteria
20250520_151556,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:ee:dc,-36,Esquina Cafeteria,Esquina Cafeteria
20250520_151556,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:cf:88,-60,Esquina Cafeteria,Esquina Cafeteria
20250520_151556,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:da:2c,-67,Esquina Cafeteria,Esquina Cafeteria
20250520_151622,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:ee:d8,-53,Cafeteria,Cafeteria
20250520_151622,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:c8:08,-57,Cafeteria,Cafeteria
20250520_151622,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:ee:dc,-61,Cafeteria,Cafeteria
20250520_151622,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:cf:88,-63,Cafeteria,Cafeteria
20250520_151638,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:cf:88,-43,Cafeteria,Cafeteria
20250520_151638,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:ee:dc,-58,Cafeteria,Cafeteria
20250520_151638,-74.35520333333334,4.8289550000000006,2641.7,2.1,8c:7a:15:da:13:3c,-68,Cafeteria,Cafeteria
20250520_151638,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:da:2c,-83,Cafeteria,Cafeteria
20250520_151652,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:cf:88,-46,Cafeteria,Cafeteria
20250520_151652,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:ee:dc,-59,Cafeteria,Cafeteria
20250520_151652,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:c8:08,-67,Cafeteria,Cafeteria
20250520_151652,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d2:1b:e8,-73,Cafeteria,Cafeteria
20250520_151704,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:cf:88,-40,Cafeteria,Cafeteria
20250520_151704,-74.35520333333334,4.8289550000000006,2641.7,2.1,8c:7a:15:da:13:3c,-65,Cafeteria,Cafeteria
20250520_151704,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:ee:dc,-67,Cafeteria,Cafeteria
20250520_151704,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:f1:d8,-72,Cafeteria,Cafeteria
20250520_151715,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:cf:88,-44,Cafeteria,Cafeteria
20250520_151715,-74.35520333333334,4.8289550000000006,2641.7,2.1,8c:7a:15:da:13:3c,-58,Cafeteria,Cafeteria
20250520_151715,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:ee:d8,-60,Cafeteria,Cafeteria
20250520_151715,-74.35520333333334,4.8289550000000006,2641.7,2.1,8c:7a:15:da:13:38,-62,Cafeteria,Cafeteria
20250520_152039,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:cf:88,-29,Arbol Zona Verde,Arbol Zona Verde
20250520_152039,-74.35520333333334,4.8289550000000006,2641.7,2.1,8c:7a:15:da:13:38,-56,Arbol Zona Verde,Arbol Zona Verde
20250520_152039,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:ee:d8,-58,Arbol Zona Verde,Arbol Zona Verde
20250520_152039,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:ee:dc,-60,Arbol Zona Verde,Arbol Zona Verde
20250520_152243,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:ee:dc,-45,Bancas en Dirección al Bloque A,Bancas en Dirección al Bloque A
20250520_152243,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:de:38,-58,Bancas en Dirección al Bloque A,Bancas en Dirección al Bloque A
20250520_152243,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:ee:d8,-61,Bancas en Dirección al Bloque A,Bancas en Dirección al Bloque A
20250520_152243,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:da:2c,-67,Bancas en Dirección al Bloque A,Bancas en Dirección al Bloque A
20250520_152330,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:da:28,-51,Rampa de Discapacidad Bloque B,Rampa de Discapacidad Bloque B
20250520_152330,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:d7:18,-59,Rampa de Discapacidad Bloque B,Rampa de Discapacidad Bloque B
20250520_152330,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:e1:58,-60,Rampa de Discapacidad Bloque B,Rampa de Discapacidad Bloque B
20250520_152330,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d2:1b:e8,-62,Rampa de Discapacidad Bloque B,Rampa de Discapacidad Bloque B
20250520_152407,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:e1:58,-46,Entrada al Bloque B,Entrada al Bloque B
20250520_152407,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d2:1d:b8,-56,Entrada al Bloque B,Entrada al Bloque B
20250520_152407,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:da:2c,-57,Entrada al Bloque B,Entrada al Bloque B
20250520_152407,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:f6:2c,-65,Entrada al Bloque B,Entrada al Bloque B
20250520_152506,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:fe:58,-39,Primer Piso del Bloque B,Primer Piso del Bloque B
20250520_152506,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:fe:5c,-47,Primer Piso del Bloque B,Primer Piso del Bloque B
20250520_152506,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:da:2c,-60,Primer Piso del Bloque B,Primer Piso del Bloque B
20250520_152506,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:fb:d8,-64,Primer Piso del Bloque B,Primer Piso del Bloque B
20250520_152523,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d2:1d:b8,-37,Primer Piso del Bloque B,Primer Piso del Bloque B
20250520_152523,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:ce:28,-42,Primer Piso del Bloque B,Primer Piso del Bloque B
20250520_152523,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:d7:18,-52,Primer Piso del Bloque B,Primer Piso del Bloque B
20250520_152523,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:f1:38,-53,Primer Piso del Bloque B,Primer Piso del Bloque B
20250520_152543,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d2:1d:b8,-44,Primer Piso del Bloque B,Primer Piso del Bloque B
20250520_152543,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:da:2c,-56,Primer Piso del Bloque B,Primer Piso del Bloque B
20250520_152543,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:da:28,-57,Primer Piso del Bloque B,Primer Piso del Bloque B
20250520_152543,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:fe:58,-59,Primer Piso del Bloque B,Primer Piso del Bloque B
20250520_152558,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d2:1d:b8,-48,Primer Piso del Bloque B,Primer Piso del Bloque B
20250520_152558,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:ce:28,-49,Primer Piso del Bloque B,Primer Piso del Bloque B
20250520_152558,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:d7:18,-51,Primer Piso del Bloque B,Primer Piso del Bloque B
20250520_152558,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d2:1b:e8,-55,Primer Piso del Bloque B,Primer Piso del Bloque B
20250520_152637,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d2:1d:b8,-49,Escaleras Primer Piso Bloque B,Escaleras Primer Piso Bloque B
20250520_152637,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:ce:28,-55,Escaleras Primer Piso Bloque B,Escaleras Primer Piso Bloque B
20250520_152637,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:fe:5c,-60,Escaleras Primer Piso Bloque B,Escaleras Primer Piso Bloque B
20250520_152637,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d2:1b:e8,-63,Escaleras Primer Piso Bloque B,Escaleras Primer Piso Bloque B
20250520_152654,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d2:1d:b8,-55,Escaleras Primer Piso Bloque B,Escaleras Primer Piso Bloque B
20250520_152654,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:de:38,-70,Escaleras Primer Piso Bloque B,Escaleras Primer Piso Bloque B
20250520_152654,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:fe:58,-73,Escaleras Primer Piso Bloque B,Escaleras Primer Piso Bloque B
20250520_152654,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:d7:18,-80,Escaleras Primer Piso Bloque B,Escaleras Primer Piso Bloque B
20250520_152728,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:ce:28,-53,Segundo Piso,Segundo Piso
20250520_152728,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:de:38,-64,Segundo Piso,Segundo Piso
20250520_152728,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:fe:5c,-70,Segundo Piso,Segundo Piso
20250520_152728,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:da:28,-76,Segundo Piso,Segundo Piso
